model,precision,batch_size,latency_mean_ms,latency_median_ms,latency_p95_ms,latency_p99_ms,latency_min_ms,latency_max_ms,throughput_samples_per_sec,peak_memory_allocated_mb,peak_memory_reserved_mb,gpu_utilization_percent_mean,gpu_power_watts_mean,gpu_temperature_c_mean,gpu_memory_utilization_percent_mean,mae,rmse,mape,directional_accuracy,best_epoch,parameter_count,trained_epochs
informer,fp16,1,1.4882,1.3618,2.1944,3.0948,0.9703,3.6271,737.9821,64.4028,86.0,10.0,2.7507,44.3333,8.3333,0.1075,0.6031,27.27,0.4295,2,79745,30
informer,fp16,8,1.7737,1.6709,2.6183,3.7162,1.2268,6.9173,4788.497,64.4199,88.0,20.5833,2.7543,44.0,14.75,0.1075,0.6031,27.27,0.4295,2,79745,30
informer,fp16,32,2.1399,1.3233,4.4453,4.8741,0.8739,6.1311,24991.1596,64.4775,90.0,16.6667,3.9863,44.0,12.3333,0.1075,0.6031,27.2697,0.4295,2,79745,30
informer,fp32,1,1.674,1.6216,2.2783,2.8343,1.2289,3.9177,642.5655,124.2323,175.3333,30.1667,17.5601,57.0,13.6111,0.1075,0.6031,27.2616,0.4956,2,79745,30
informer,fp32,8,2.6488,2.4351,3.962,4.7322,0.9037,5.2829,3351.0537,121.4546,168.0,20.3333,4.527,46.0,20.0,0.1075,0.6031,27.2618,0.4956,2,79745,30
informer,fp32,32,2.5611,1.6408,7.3879,7.8213,1.5328,8.322,19508.8641,122.0581,170.0,48.4222,3.432,45.0,9.6222,0.1075,0.6031,27.2621,0.4956,2,79745,30
lstm,fp16,1,2.4378,2.5072,3.4707,5.8739,1.3722,6.8043,414.0306,184.1719,190.0,24.2,4.5593,43.3333,5.4667,0.0809,0.5253,23.4151,0.4029,30,51521,30
lstm,fp16,8,2.2057,1.2934,5.0065,6.2879,1.0988,7.6717,8442.355,184.189,190.0,21.2083,4.2131,43.5,6.9167,0.0809,0.5253,23.4151,0.4029,30,51521,30
lstm,fp16,32,3.1113,2.4581,5.5141,7.1347,1.5102,9.5073,19698.2334,184.2466,214.0,31.9229,4.751,43.8333,5.8896,0.0809,0.5253,23.4152,0.4029,30,51521,30
lstm,fp32,1,2.3318,2.1293,3.2336,5.3541,1.5024,7.1614,587.9522,362.2986,380.75,11.4458,6.0984,45.0,6.8792,0.0816,0.5214,23.7075,0.4916,30,51521,30
lstm,fp32,8,2.4772,2.2122,3.4093,4.43,1.7286,5.6866,3671.0649,361.3232,376.0,16.9056,4.3231,43.8333,5.9,0.0809,0.5253,23.4225,0.4917,30,51521,30
lstm,fp32,32,2.5881,2.6208,3.5537,3.8785,1.8043,4.2594,12623.1185,361.9268,398.0,15.3333,4.401,43.4333,7.2333,0.0809,0.5253,23.4225,0.4917,30,51521,30
tiny_time_mixer,fp16,1,0.4431,0.327,0.7042,2.4669,0.1942,2.8456,3082.1899,10.2993,22.0,11.1667,3.2378,43.0,2.1667,0.4153,1.5207,140.9515,0.374,17,169729,30
tiny_time_mixer,fp16,8,0.4064,0.3474,0.647,1.1706,0.2086,1.7469,24480.3504,10.3164,22.0,7.0,2.4493,43.0,6.6667,0.4153,1.5207,140.9519,0.374,17,169729,30
tiny_time_mixer,fp16,32,0.3406,0.2714,0.7121,1.2692,0.1848,1.9118,121232.0709,10.374,22.0,0.0,2.011,43.0,5.3333,0.4153,1.5207,140.9523,0.374,17,169729,30
tiny_time_mixer,fp32,1,0.3122,0.269,0.5255,1.0234,0.1592,1.3044,3789.9475,14.1652,22.6667,6.6667,4.0677,42.0,6.3333,0.4148,1.5185,140.8198,0.5008,17,169729,30
tiny_time_mixer,fp32,8,0.2854,0.212,0.6079,1.122,0.1915,1.4082,37783.4606,11.2744,22.0,2.6667,2.6063,42.0,18.0,0.4148,1.5185,140.8205,0.5008,17,169729,30
tiny_time_mixer,fp32,32,0.3443,0.2792,0.6312,1.175,0.2441,1.7446,114826.71,11.3896,22.0,1.0,2.6133,43.0,36.6667,0.4148,1.5185,140.8205,0.5008,17,169729,30
transformer,fp16,1,1.0848,0.9689,1.7906,2.3074,0.8385,3.0803,1035.6641,72.8164,98.0,14.6667,3.7993,46.0,7.3333,0.08,0.5412,25.5292,0.4005,5,100417,30
transformer,fp16,8,1.6441,1.6042,1.9116,2.8773,1.3675,3.3387,4987.515,72.8335,100.0,15.5833,3.6038,45.3333,7.0833,0.08,0.5412,25.5292,0.4005,5,100417,30
transformer,fp16,32,2.6637,2.7417,4.2693,4.5062,0.7089,5.8449,11703.87,72.8911,102.0,32.5556,4.024,45.0,5.2222,0.08,0.5412,25.529,0.4005,5,100417,30
transformer,fp32,1,1.4978,1.4803,1.9467,2.3223,1.2154,2.5576,723.5642,140.3371,189.3333,35.8333,32.7437,60.3333,15.0833,0.08,0.5412,25.5503,0.4917,5,100417,30
transformer,fp32,8,2.2392,2.1623,3.5806,4.0708,0.7546,5.9182,4640.9292,137.5332,184.0,28.4,3.9273,48.1333,9.6667,0.08,0.5412,25.5499,0.4917,5,100417,30
transformer,fp32,32,1.6655,1.5989,1.9723,2.7062,1.5297,3.029,20025.0013,138.1367,186.0,36.5833,4.8267,46.5,9.5,0.08,0.5412,25.5495,0.4917,5,100417,30
