"Name","State","Notes","User","Tags","Created","Runtime","Sweep","accuracy_eval_samples","backend","batch_size","best_epoch","best_val_loss","checkpoint_loaded","checkpoint_path","cpu","cuda_available","cuda_version","dataset_start_date","directional_accuracy","forecast_horizon","gpu_compute_capability","gpu_device_index","gpu_graphics_clock_mhz_max","gpu_graphics_clock_mhz_mean","gpu_graphics_clock_mhz_min","gpu_memory_clock_mhz_max","gpu_memory_clock_mhz_mean","gpu_memory_clock_mhz_min","gpu_memory_total_mb_max","gpu_memory_total_mb_mean","gpu_memory_total_mb_min","gpu_memory_used_mb_max","gpu_memory_used_mb_mean","gpu_memory_used_mb_min","gpu_memory_utilization_percent_max","gpu_memory_utilization_percent_mean","gpu_memory_utilization_percent_min","gpu_name","gpu_power_watts_max","gpu_power_watts_mean","gpu_power_watts_min","gpu_telemetry_sample_count","gpu_temperature_c_max","gpu_temperature_c_mean","gpu_temperature_c_min","gpu_total_memory_gb","gpu_utilization_percent_max","gpu_utilization_percent_mean","gpu_utilization_percent_min","latency_max_ms","latency_mean_ms","latency_median_ms","latency_min_ms","latency_p95_ms","latency_p99_ms","lookback_window","mae","mape","model","os","parameter_count","peak_memory_allocated_mb","peak_memory_reserved_mb","precision","python","repeat_index","rmse","run_id","system_ram_gb","throughput_samples_per_sec","ticker_count","tickers","torch_version","trained_epochs","training_history_path"
"lstm-pytorch-fp32-bs1-rep0","finished","-","","","2026-05-29T13:13:36.000Z","3","","12933","pytorch","1","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","315","252","210","405","405","405","8188","8188","8188","571.59765625","571.59765625","571.59765625","12","9.2","5","NVIDIA GeForce RTX 4070 Laptop GPU","5.636","4.004","2.916","5","42","42","42","7.996","61","33.4","15","4.970299996784888","2.4291069993341807","2.1556000065174885","1.970700002857484","3.4862750006141137","3.933670998085295","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.28955078125","372","fp32","3.12.10","0","0.5095060467720032","20260529-184258_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","463.9079592579724","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs1-rep1","finished","-","","","2026-05-29T13:14:06.000Z","2","","12933","pytorch","1","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","210","210","210","405","405","405","8188","8188","8188","572.22265625","572.22265625","572.22265625","5","5","5","NVIDIA GeForce RTX 4070 Laptop GPU","5.31","5.31","5.31","6","43","43","43","7.996","1","1","1","5.760600004578009","2.783016999892425","2.8466000003390945","1.8617000023368744","4.005349991348339","4.769807994744047","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.28955078125","372","fp32","3.12.10","1","0.5095060467720032","20260529-184258_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","351.2962832434755","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs1-rep0","finished","-","","","2026-05-29T13:15:10.000Z","2","","12933","pytorch","1","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","210","210","210","405","405","405","8188","8188","8188","572.47265625","572.47265625","572.47265625","9","9","9","NVIDIA GeForce RTX 4070 Laptop GPU","5.209","5.209","5.209","6","43","43","43","7.996","6","6","6","12.469299996155314","2.724581998772919","2.2004999918863177","1.942500006407499","3.856819999782599","11.628492990275848","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.28955078125","372","fp32","3.12.10","0","0.5095060467720032","20260529-184435_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","454.4421739092022","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs1-rep1","finished","-","","","2026-05-29T13:15:43.000Z","3","","12933","pytorch","1","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","210","210","210","405","405","405","8188","8188","8188","572.47265625","572.47265625","572.47265625","13","13","13","NVIDIA GeForce RTX 4070 Laptop GPU","2.947","2.947","2.947","5","42","42","42","7.996","10","10","10","9.767800002009608","2.444511999929091","1.8621499912114816","1.597900001797825","3.5225549960159688","9.133903001347791","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.28955078125","372","fp32","3.12.10","1","0.5095060467720032","20260529-184435_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","537.0136695322905","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs1-rep2","finished","-","","","2026-05-29T13:16:08.000Z","3","","12933","pytorch","1","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","210","210","210","405","405","405","8188","8188","8188","576.28515625","576.28515625","576.28515625","18","18","18","NVIDIA GeForce RTX 4070 Laptop GPU","3.307","3.307","3.307","6","43","43","43","7.996","21","21","21","14.763300001504833","2.708017999539152","2.85470000380883","1.816300005884841","3.0388149942154996","4.518185986380612","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.28955078125","372","fp32","3.12.10","2","0.5095060467720032","20260529-184435_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","350.29950561031586","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs8-rep0","finished","-","","","2026-05-29T13:16:35.000Z","2","","12933","pytorch","8","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","210","210","210","405","405","405","8188","8188","8188","580.28515625","580.28515625","580.28515625","8","8","8","NVIDIA GeForce RTX 4070 Laptop GPU","2.996","2.996","2.996","5","43","43","43","7.996","5","5","5","4.967999993823469","2.448655999614857","2.0379000052344054","1.9208000012440607","3.146250003919704","4.6105109945347085","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.3232421875","376","fp32","3.12.10","0","0.5095060467720032","20260529-184435_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","3925.609686172907","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs8-rep1","finished","-","","","2026-05-29T13:17:04.000Z","3","","12933","pytorch","8","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","300","225","210","405","405","405","8188","8188","8188","580.28515625","580.28515625","580.28515625","5","3.3333333333333335","3","NVIDIA GeForce RTX 4070 Laptop GPU","5.599","5.164000000000001","5.077","6","43","43","43","7.996","80","13.333333333333334","0","10.105800000019372","2.5281780000659637","2.231099999335129","2.08240000938531","3.1937450024997815","4.5598199953383585","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.3232421875","376","fp32","3.12.10","1","0.5095060467720032","20260529-184435_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","3585.675228534809","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs8-rep2","finished","-","","","2026-05-29T13:17:32.000Z","2","","12933","pytorch","8","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","330","234","210","405","405","405","8188","8188","8188","580.28515625","580.28515625","580.28515625","5","3.4","3","NVIDIA GeForce RTX 4070 Laptop GPU","7.137","5.4146","4.984","5","43","43","43","7.996","87","20.6","4","4.30110000888817","2.264864999742713","1.9952000002376735","1.8988000083481893","3.282450007100124","3.7846169946715262","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.3232421875","376","fp32","3.12.10","2","0.5095060467720032","20260529-184435_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","4009.623094951393","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs32-rep0","finished","-","","","2026-05-29T13:17:57.000Z","3","","12933","pytorch","32","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","210","210","210","405","405","405","8188","8188","8188","619.03515625","619.03515625","619.03515625","7","7","7","NVIDIA GeForce RTX 4070 Laptop GPU","5.168","5.168","5.168","6","43","43","43","7.996","4","4","4","3.9781999948900193","2.9004880000138655","2.7039999986300245","2.101799997035414","3.6052549978194297","3.694564996112605","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.9267578125","398","fp32","3.12.10","0","0.5095060467720032","20260529-184435_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","11834.31953262305","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
"lstm-pytorch-fp32-bs32-rep1","finished","-","","","2026-05-29T13:18:27.000Z","3","","12933","pytorch","32","30","3.590657641078002","true","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.pt","AMD64 Family 25 Model 116 Stepping 1, AuthenticAMD","true","12.6","2015-01-01","0.4914166408908135","21","8.9","0","210","210","210","405","405","405","8188","8188","8188","619.16015625","619.16015625","619.16015625","8","8","8","NVIDIA GeForce RTX 4070 Laptop GPU","5.001","5.001","5.001","6","43","43","43","7.996","4","4","4","3.714899998158217","2.541928999416996","2.3671500021009706","2.2659999958705157","3.3185449974553194","3.571745988592739","252","0.08374638110399246","24.562732696533203","lstm","Windows-11-10.0.26200-SP0","51521","361.9267578125","398","fp32","3.12.10","1","0.5095060467720032","20260529-184435_lstm-transformer-tiny_time_mixer-informer_fp32-fp16_bs1-8-32","15.288","13518.365955515414","25","[""AAPL"",""MSFT"",""NVDA"",""AMD"",""META"",""GOOGL"",""AMZN"",""SPY"",""QQQ"",""DIA"",""IWM"",""JPM"",""GS"",""BAC"",""XOM"",""CVX"",""SMH"",""TSM"",""VIXY"",""^NSEI"",""RELIANCE.NS"",""TCS.NS"",""INFY.NS"",""CQQQ"",""FXI""]","2.12.0+cu126","30","checkpoints\lstm_lb252_h21_in5_e30_2a00fcb3a7.history.json"
